Conversion run started at 2026-05-19 23:38:56
Working directory: /home/gpca/harbinger
[2026-05-19 23:39:00] phase=rmd->md status=ok duration=3.089s file=Rmd/anomalies/01-baseline-hanr_histogram.Rmd
[2026-05-19 23:39:01] phase=rmd->md status=ok duration=1.315s file=Rmd/anomalies/10-regression-hanr_arima.Rmd
[2026-05-19 23:39:02] phase=rmd->md status=ok duration=1.094s file=Rmd/anomalies/11-regression-hanr_fbiad.Rmd
[2026-05-19 23:39:05] phase=rmd->md status=ok duration=2.564s file=Rmd/anomalies/12-regression-hanr_emd.Rmd
[2026-05-19 23:39:07] phase=rmd->md status=ok duration=2.141s file=Rmd/anomalies/13-regression-hanr_fft.Rmd
[2026-05-19 23:39:08] phase=rmd->md status=ok duration=1.299s file=Rmd/anomalies/14-regression-hanr_fft_amoc.Rmd
[2026-05-19 23:39:09] phase=rmd->md status=ok duration=1.143s file=Rmd/anomalies/15-regression-hanr_fft_amoc_cusum.Rmd
[2026-05-19 23:39:11] phase=rmd->md status=ok duration=1.386s file=Rmd/anomalies/16-regression-hanr_fft_binseg.Rmd
[2026-05-19 23:39:13] phase=rmd->md status=ok duration=2.332s file=Rmd/anomalies/17-regression-hanr_fft_binseg_cusum.Rmd
[2026-05-19 23:39:14] phase=rmd->md status=ok duration=1.122s file=Rmd/anomalies/18-regression-hanr_fft_sma.Rmd
[2026-05-19 23:39:16] phase=rmd->md status=ok duration=1.874s file=Rmd/anomalies/20-regression-hanr_garch.Rmd
[2026-05-19 23:39:18] phase=rmd->md status=ok duration=1.937s file=Rmd/anomalies/21-regression-hanr_remd.Rmd
[2026-05-19 23:39:19] phase=rmd->md status=ok duration=1.199s file=Rmd/anomalies/22-regression-hanr_rtad.Rmd
[2026-05-19 23:39:21] phase=rmd->md status=ok duration=1.794s file=Rmd/anomalies/23-regression-hanr_wavelet.Rmd
[2026-05-19 23:39:22] phase=rmd->md status=ok duration=1.506s file=Rmd/anomalies/30-regression-ml-hanr_ml_elm.Rmd
[2026-05-19 23:39:24] phase=rmd->md status=ok duration=1.574s file=Rmd/anomalies/31-regression-ml-hanr_ml_mlp.Rmd
[2026-05-19 23:39:25] phase=rmd->md status=ok duration=1.165s file=Rmd/anomalies/32-regression-ml-hanr_ml_rf.Rmd
[2026-05-19 23:39:27] phase=rmd->md status=ok duration=1.983s file=Rmd/anomalies/33-regression-ml-hanr_ml_svm.Rmd
[2026-05-19 23:39:32] phase=rmd->md status=ok duration=5.352s file=Rmd/anomalies/34-regression-ml-hanr_ml_lstm.Rmd
[2026-05-19 23:39:35] phase=rmd->md status=ok duration=2.565s file=Rmd/anomalies/35-regression-ml-hanr_ml_conv1d.Rmd
[2026-05-19 23:39:37] phase=rmd->md status=ok duration=1.612s file=Rmd/anomalies/40-classification-hanc_ml_majority.Rmd
[2026-05-19 23:39:38] phase=rmd->md status=ok duration=1.558s file=Rmd/anomalies/41-classification-hanc_ml_dtree.Rmd
[2026-05-19 23:39:39] phase=rmd->md status=ok duration=1.019s file=Rmd/anomalies/42-classification-hanc_ml_knn.Rmd
[2026-05-19 23:39:40] phase=rmd->md status=ok duration=1.067s file=Rmd/anomalies/43-classification-hanc_ml_nb.Rmd
[2026-05-19 23:39:46] phase=rmd->md status=ok duration=5.747s file=Rmd/anomalies/44-classification-hanc_ml_rf.Rmd
