Conversion run started at 2026-07-08 19:26:40
Working directory: /home/gpca/harbinger
[2026-07-08 19:26:46] phase=rmd->md status=ok duration=5.980s file=Rmd/anomalies/01-baseline-hanr_histogram.Rmd
[2026-07-08 19:26:48] phase=rmd->md status=ok duration=1.540s file=Rmd/anomalies/10-regression-hanr_arima.Rmd
[2026-07-08 19:26:49] phase=rmd->md status=ok duration=1.262s file=Rmd/anomalies/11-regression-hanr_fbiad.Rmd
[2026-07-08 19:26:52] phase=rmd->md status=ok duration=2.323s file=Rmd/anomalies/12-regression-hanr_emd.Rmd
[2026-07-08 19:26:53] phase=rmd->md status=ok duration=1.411s file=Rmd/anomalies/13-regression-hanr_fft.Rmd
[2026-07-08 19:26:55] phase=rmd->md status=ok duration=1.718s file=Rmd/anomalies/14-regression-hanr_fft_amoc.Rmd
[2026-07-08 19:26:56] phase=rmd->md status=ok duration=1.221s file=Rmd/anomalies/15-regression-hanr_fft_amoc_cusum.Rmd
[2026-07-08 19:26:57] phase=rmd->md status=ok duration=1.253s file=Rmd/anomalies/16-regression-hanr_fft_binseg.Rmd
[2026-07-08 19:26:58] phase=rmd->md status=ok duration=1.236s file=Rmd/anomalies/17-regression-hanr_fft_binseg_cusum.Rmd
[2026-07-08 19:27:00] phase=rmd->md status=ok duration=1.249s file=Rmd/anomalies/18-regression-hanr_fft_sma.Rmd
[2026-07-08 19:27:01] phase=rmd->md status=ok duration=1.560s file=Rmd/anomalies/20-regression-hanr_garch.Rmd
[2026-07-08 19:27:03] phase=rmd->md status=ok duration=1.428s file=Rmd/anomalies/21-regression-hanr_remd.Rmd
[2026-07-08 19:27:04] phase=rmd->md status=ok duration=1.421s file=Rmd/anomalies/22-regression-hanr_rtad.Rmd
[2026-07-08 19:27:05] phase=rmd->md status=ok duration=1.254s file=Rmd/anomalies/23-regression-hanr_wavelet.Rmd
[2026-07-08 19:27:07] phase=rmd->md status=ok duration=1.273s file=Rmd/anomalies/30-regression-ml-hanr_ml_elm.Rmd
[2026-07-08 19:27:08] phase=rmd->md status=ok duration=1.614s file=Rmd/anomalies/31-regression-ml-hanr_ml_mlp.Rmd
[2026-07-08 19:27:10] phase=rmd->md status=ok duration=1.269s file=Rmd/anomalies/32-regression-ml-hanr_ml_rf.Rmd
[2026-07-08 19:27:11] phase=rmd->md status=ok duration=1.310s file=Rmd/anomalies/33-regression-ml-hanr_ml_svm.Rmd
[2026-07-08 19:27:16] phase=rmd->md status=ok duration=4.881s file=Rmd/anomalies/34-regression-ml-hanr_ml_lstm.Rmd
[2026-07-08 19:27:19] phase=rmd->md status=ok duration=2.904s file=Rmd/anomalies/35-regression-ml-hanr_ml_conv1d.Rmd
[2026-07-08 19:27:21] phase=rmd->md status=ok duration=1.948s file=Rmd/anomalies/40-classification-hanc_ml_majority.Rmd
[2026-07-08 19:27:23] phase=rmd->md status=ok duration=2.691s file=Rmd/anomalies/41-classification-hanc_ml_dtree.Rmd
[2026-07-08 19:27:25] phase=rmd->md status=ok duration=2.000s file=Rmd/anomalies/42-classification-hanc_ml_knn.Rmd
[2026-07-08 19:27:27] phase=rmd->md status=ok duration=2.022s file=Rmd/anomalies/43-classification-hanc_ml_nb.Rmd
[2026-07-08 19:27:29] phase=rmd->md status=ok duration=2.031s file=Rmd/anomalies/44-classification-hanc_ml_rf.Rmd
[2026-07-08 19:27:32] phase=rmd->md status=ok duration=2.724s file=Rmd/anomalies/45-classification-hanc_ml_svm.Rmd
[2026-07-08 19:27:34] phase=rmd->md status=ok duration=2.026s file=Rmd/anomalies/46-classification-hanc_ml_mlp.Rmd
[2026-07-08 19:27:35] phase=rmd->md status=ok duration=1.093s file=Rmd/anomalies/50-clustering-hanct_kmeans_anomaly.Rmd
[2026-07-08 19:27:39] phase=rmd->md status=ok duration=3.747s file=Rmd/anomalies/51-clustering-hanct_dtw_anomaly.Rmd
[2026-07-08 19:27:40] phase=rmd->md status=ok duration=1.481s file=Rmd/anomalies/60-discord-hanct_kmeans_discord.Rmd
[2026-07-08 19:27:43] phase=rmd->md status=ok duration=2.130s file=Rmd/anomalies/61-discord-hanct_dtw_discord.Rmd
[2026-07-08 19:27:45] phase=rmd->md status=ok duration=2.895s file=Rmd/anomalies/70-ensemble-hanr_ensemble.Rmd
[2026-07-08 19:27:48] phase=rmd->md status=ok duration=2.251s file=Rmd/anomalies/71-ensemble-hanr_ensemble_fuzzy.Rmd
[2026-07-08 19:27:50] phase=rmd->md status=ok duration=1.852s file=Rmd/anomalies/80-autoencoder-han_autoenc_ed.Rmd
[2026-07-08 19:27:51] phase=rmd->md status=ok duration=1.480s file=Rmd/anomalies/81-autoencoder-han_autoenc_denoise_ed.Rmd
[2026-07-08 19:28:50] phase=rmd->md status=ok duration=59.425s file=Rmd/anomalies/82-autoencoder-han_autoenc_conv_ed.Rmd
[2026-07-08 19:28:53] phase=rmd->md status=ok duration=2.182s file=Rmd/anomalies/83-autoencoder-han_autoenc_lstm_ed.Rmd
[2026-07-08 19:28:55] phase=rmd->md status=ok duration=2.580s file=Rmd/anomalies/84-autoencoder-han_autoenc_stacked_ed.Rmd
[2026-07-08 19:28:57] phase=rmd->md status=ok duration=1.816s file=Rmd/anomalies/85-autoencoder-han_autoenc_variational_ed.Rmd
[2026-07-08 19:29:00] phase=rmd->md status=ok duration=2.708s file=Rmd/anomalies/86-autoencoder-han_autoenc_adv_ed.Rmd
[2026-07-08 19:29:02] phase=rmd->md status=ok duration=2.563s file=Rmd/anomalies/90-multivariate-hmu_pca.Rmd
[2026-07-08 19:29:02] phase=rmd->md status=ok duration=0.011s file=Rmd/anomalies/README.Rmd
[2026-07-08 19:29:03] phase=rmd->md status=ok duration=1.208s file=Rmd/change_point/01-single-break-hcp_amoc.Rmd
[2026-07-08 19:29:05] phase=rmd->md status=ok duration=1.264s file=Rmd/change_point/02-multiple-breaks-hcp_binseg.Rmd
[2026-07-08 19:29:06] phase=rmd->md status=ok duration=1.265s file=Rmd/change_point/03-multiple-breaks-hcp_pelt.Rmd
[2026-07-08 19:29:07] phase=rmd->md status=ok duration=1.009s file=Rmd/change_point/04-structural-break-hcp_chow.Rmd
[2026-07-08 19:29:10] phase=rmd->md status=ok duration=3.005s file=Rmd/change_point/05-structural-break-hcp_gft.Rmd
[2026-07-08 19:29:12] phase=rmd->md status=ok duration=1.612s file=Rmd/change_point/06-changefinder-hcp_cf_lr.Rmd
[2026-07-08 19:29:14] phase=rmd->md status=ok duration=2.023s file=Rmd/change_point/07-changefinder-hcp_cf_arima.Rmd
[2026-07-08 19:29:15] phase=rmd->md status=ok duration=1.281s file=Rmd/change_point/08-changefinder-hcp_cf_ets.Rmd
[2026-07-08 19:29:17] phase=rmd->md status=ok duration=1.873s file=Rmd/change_point/09-volatility-hcp_garch.Rmd
[2026-07-08 19:29:19] phase=rmd->md status=ok duration=2.390s file=Rmd/change_point/10-window-hcp_scp.Rmd
[2026-07-08 19:29:26] phase=rmd->md status=ok duration=6.834s file=Rmd/change_point/11-waypoint-hcp_waypoint_ed.Rmd
[2026-07-08 19:29:35] phase=rmd->md status=ok duration=8.403s file=Rmd/change_point/12-waypoint-hcp_waypoint_lstm.Rmd
